Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP00001,Operations,28,28278,8,37.3,42,No
EMP00002,HR,27,113696,17,32.6,64,No
EMP00003,HR,22,37280,6,37.0,53,No
EMP00004,IT,56,51062,20,51.0,89,Yes
EMP00005,Support,49,102236,8,54.3,55,No
EMP00006,IT,31,116506,13,40.2,55,No
EMP00007,Support,42,38396,2,41.4,41,No
EMP00008,Sales,43,104131,8,54.2,78,Yes
EMP00009,Support,55,41361,12,32.4,50,No
EMP00010,HR,60,141057,11,47.3,76,Yes
EMP00011,Support,23,111673,7,53.2,54,No
EMP00012,Operations,35,138571,3,41.4,46,No
EMP00013,Finance,44,46319,11,40.7,68,No
EMP00014,IT,25,104840,20,35.1,83,Yes
EMP00015,Operations,31,85589,12,38.1,76,Yes
EMP00016,HR,56,53785,10,55.3,84,Yes
EMP00017,Finance,35,132715,1,54.2,53,No
EMP00018,IT,25,52653,18,56.3,87,Yes
EMP00019,IT,52,76856,20,43.8,76,Yes
EMP00020,Marketing,36,122647,17,46.2,88,Yes
EMP00021,IT,48,142679,18,42.0,70,No
EMP00022,HR,53,89686,2,52.7,68,No
EMP00023,Marketing,30,107240,5,53.8,61,No
EMP00024,Marketing,25,75432,12,47.9,70,No
EMP00025,Operations,37,97512,0,50.4,38,No
EMP00026,HR,55,123419,8,53.1,64,No
EMP00027,Operations,39,81985,5,43.6,68,No
EMP00028,Support,37,90612,5,45.2,43,No
EMP00029,IT,40,135319,20,45.2,76,Yes
EMP00030,Marketing,44,124943,5,46.2,65,No
EMP00031,Finance,21,103504,10,44.7,52,No
EMP00032,HR,40,56385,1,37.2,42,No
EMP00033,Marketing,26,120932,15,54.5,93,Yes
EMP00034,Finance,29,41828,15,58.4,78,Yes
EMP00035,Marketing,54,139351,19,42.7,71,No
EMP00036,Operations,33,118447,9,42.0,66,No
EMP00037,IT,44,82422,16,43.5,67,No
EMP00038,Marketing,25,69313,0,47.6,39,No
EMP00039,IT,35,25942,2,51.2,41,No
EMP00040,Marketing,25,143675,1,55.8,44,No
EMP00041,Operations,36,61500,15,36.4,55,No
EMP00042,Support,57,100525,15,37.3,67,No
EMP00043,Finance,47,49957,3,32.9,36,No
EMP00044,Operations,48,78883,14,55.9,69,No
EMP00045,Support,27,32944,12,51.8,85,Yes
EMP00046,IT,27,57591,6,35.7,46,No
EMP00047,HR,48,49050,8,43.9,71,No
EMP00048,Marketing,49,130909,17,32.9,71,No
EMP00049,Sales,21,37224,7,35.0,49,No
EMP00050,Sales,34,138331,12,57.1,71,No
EMP00051,Sales,21,76173,8,57.8,83,Yes
EMP00052,IT,39,80444,17,49.9,83,Yes
EMP00053,Operations,33,63890,6,59.1,74,No
EMP00054,Sales,55,32989,10,31.7,54,No
EMP00055,Marketing,53,145505,16,34.7,81,Yes
EMP00056,Operations,26,136587,5,32.1,29,No
EMP00057,IT,36,77923,3,58.2,67,No
EMP00058,Operations,58,102924,1,48.6,48,No
EMP00059,IT,58,99085,16,39.5,64,No
EMP00060,Operations,41,56285,8,41.9,63,No
EMP00061,HR,40,84929,10,57.9,91,Yes
EMP00062,HR,21,85068,19,60.0,86,Yes
EMP00063,Finance,55,52938,16,38.0,84,Yes
EMP00064,Sales,25,140247,7,41.1,45,No
EMP00065,Operations,55,117214,9,48.4,76,Yes
EMP00066,HR,54,26025,17,39.0,79,Yes
EMP00067,Marketing,29,59664,3,56.7,70,No
